model,fpr,tpr,threshold
rule,0.24902216427640156,1.0,7.183418737086683e-14
rule,0.2503259452411995,1.0,6.978853239989472e-14
rule,0.2522816166883963,1.0,6.119317854177004e-14
rule,0.2561929595827901,1.0,4.4144872892128814e-14
rule,0.25684485006518903,1.0,3.841393289133348e-14
rule,0.2633637548891786,1.0,3.501672105947005e-14
rule,0.2653194263363755,1.0,2.996975149932708e-14
rule,0.2666232073011734,1.0,2.7637872117253948e-14
rule,0.27444589308996087,1.0,2.5760273476663592e-14
rule,0.2757496740547588,1.0,2.3708654043436142e-14
rule,0.2770534550195567,1.0,1.836346112561632e-14
rule,0.2790091264667536,1.0,1.8233188193467164e-14
rule,0.28096479791395046,1.0,1.0151806611621636e-14
rule,0.2835723598435463,1.0,9.7546113940513e-15
rule,0.2848761408083442,1.0,9.665379640350764e-15
rule,0.29921773142112124,1.0,9.058239424541865e-15
rule,0.3005215123859192,1.0,8.304100662303793e-15
rule,0.3044328552803129,1.0,7.754513520553607e-15
rule,0.3050847457627119,1.0,7.531473097581522e-15
rule,0.3076923076923077,1.0,6.886697717450025e-15
rule,0.30834419817470665,1.0,6.728342969934707e-15
rule,0.3213820078226858,1.0,5.998701948087593e-15
rule,0.32333767926988266,1.0,5.99870194808755e-15
rule,0.3246414602346806,1.0,4.574474662136569e-15
rule,0.3272490221642764,1.0,4.139591510037641e-15
rule,0.32790091264667537,1.0,3.93957479152668e-15
rule,0.32985658409387225,1.0,3.9208188782307916e-15
rule,0.33116036505867014,1.0,3.409216365803122e-15
rule,0.33376792698826596,1.0,2.535487733628469e-15
rule,0.3363754889178618,1.0,9.060140663836078e-16
rule,0.34159061277705344,1.0,8.972927325498552e-16
rule,0.35267275097783574,1.0,8.515536256238875e-16
rule,0.3546284224250326,1.0,8.217987648911542e-16
rule,0.35528031290743156,1.0,7.892462964823063e-16
rule,0.35723598435462844,1.0,6.810656499018548e-16
rule,0.3578878748370274,1.0,6.374721782058963e-16
rule,0.3604954367666232,1.0,6.075963041104531e-16
rule,0.3644067796610169,1.0,2.99772600022034e-16
rule,0.3670143415906128,1.0,2.971680026806339e-16
rule,0.36897001303780963,1.0,2.954728566136196e-16
rule,0.37027379400260757,1.0,1.6682130841581616e-16
rule,0.3748370273794003,1.0,1.414887592874325e-16
rule,0.3774445893089961,1.0,1.324155187779602e-16
rule,0.38005215123859193,1.0,1.1925033486035313e-16
rule,0.3852672750977836,1.0,9.594373213112516e-17
rule,0.38657105606258146,1.0,8.641860999775949e-17
rule,0.3878748370273794,1.0,8.113538183865135e-17
rule,0.3898305084745763,1.0,5.729247184600673e-17
rule,0.3917861799217731,1.0,5.650630877099926e-17
rule,0.3924380704041721,1.0,4.2650356357739946e-17
rule,0.39374185136897,1.0,4.2388212601348496e-17
rule,0.39504563233376794,1.0,3.510499843678176e-17
rule,0.39765319426336376,1.0,2.6504097989207682e-17
rule,0.39895697522816165,1.0,2.20360435537027e-17
rule,0.40547588005215124,1.0,2.1009861589884097e-17
rule,0.41003911342894395,1.0,9.857843034413172e-18
rule,0.41264667535853977,1.0,8.804866084469617e-18
rule,0.41460234680573665,1.0,8.737751587075522e-18
rule,0.4178617992177314,1.0,7.847381606031203e-18
rule,0.4217731421121252,1.0,4.9661942978654666e-18
rule,0.4230769230769231,1.0,4.812841160328844e-18
rule,0.423728813559322,1.0,4.377812152377221e-18
rule,1.0,1.0,4.248354255291589e-18
rectified_l1,0.0,0.0,inf
rectified_l1,0.0,0.01303538175046555,1.0
rectified_l1,0.0,0.0148975791433892,0.9999999999999931
rectified_l1,0.000651890482398957,0.0148975791433892,0.999999999989851
rectified_l1,0.000651890482398957,0.03165735567970205,0.9999991398184914
rectified_l1,0.000651890482398957,0.035381750465549346,0.999999032686697
rectified_l1,0.000651890482398957,0.03910614525139665,0.9999983644383216
rectified_l1,0.000651890482398957,0.04283054003724395,0.9999979213818929
rectified_l1,0.000651890482398957,0.0521415270018622,0.9999959182888789
rectified_l1,0.000651890482398957,0.9459962756052142,0.9999958460720283
rectified_l1,0.000651890482398957,0.9515828677839852,0.9999957953824242
rectified_l1,0.000651890482398957,0.9553072625698324,0.999995789035653
rectified_l1,0.000651890482398957,0.9590316573556797,0.9999951893499214
