support_size,n,seed_count,rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe
25,5000,3,0.15,0.8,0.3431617694324355,1.8660829020808432,1.6831863798904294,0.0,0.0,-0.18289652219041375,0.0
25,5000,3,0.15,0.85,0.3646093800219627,1.9762913793232018,1.7974550863300098,0.0,0.0,-0.17883629299319193,0.0
25,5000,3,0.15,0.9,0.3860569906114899,2.086782480668699,1.8903389240645616,0.0,0.0,-0.19644355660413737,0.0
25,5000,3,0.15,0.95,0.4075046012010171,2.191910708702974,2.0164747718683067,0.0,0.0,-0.1754359368346674,0.0
25,5000,3,0.175,0.0,0.0,0.005965580452633117,0.014999141346815603,1.0,1.0,0.009033560894182486,0.0
25,5000,3,0.175,0.05,0.02280350850198276,0.11556030247394418,0.0976667083426843,1.0,1.0,-0.017893594131259877,0.0
25,5000,3,0.175,0.1,0.04560701700396552,0.22591246684314473,0.18557506727575865,1.0,1.0,-0.04033739956738608,0.0
25,5000,3,0.175,0.15,0.06841052550594827,0.3358235276134935,0.29673513366134113,1.0,1.0,-0.039088393952152356,0.0
25,5000,3,0.175,0.2,0.09121403400793104,0.44589805801742727,0.4050338665033853,1.0,1.0,-0.04086419151404197,0.0
25,5000,3,0.175,0.25,0.11401754250991379,0.5553037802739695,0.5036576229350881,1.0,1.0,-0.05164615733888145,0.0
25,5000,3,0.175,0.3,0.13682105101189654,0.6648195975841116,0.5973045352174872,1.0,1.0,-0.06751506236662441,0.0
25,5000,3,0.175,0.35,0.1596245595138793,0.7740951364793877,0.6900309083886905,1.0,1.0,-0.08406422809069714,0.0
25,5000,3,0.175,0.4,0.1824280680158621,0.862221623716512,0.7913526273179928,1.0,1.0,-0.07086899639851918,0.0
25,5000,3,0.175,0.45,0.20523157651784482,0.9734470471231874,0.8873986407860285,1.0,1.0,-0.08604840633715893,0.0
25,5000,3,0.175,0.5,0.22803508501982758,1.121869301745453,1.0425008169118464,0.0,0.0,-0.0793684848336067,0.0
25,5000,3,0.175,0.55,0.25083859352181037,1.1949474213074758,1.090758107781582,0.0,0.0,-0.10418931352589378,0.0
25,5000,3,0.175,0.6,0.2736421020237931,1.3041728941219273,1.1875561043370222,0.0,0.0,-0.11661678978490508,0.0
25,5000,3,0.175,0.65,0.2964456105257759,1.414126552950804,1.2977789913314115,0.0,0.0,-0.11634756161939253,0.0
25,5000,3,0.175,0.7,0.3192491190277586,1.5229964911059735,1.3974882063361058,0.0,0.0,-0.12550828476986764,0.0
25,5000,3,0.175,0.75,0.34205262752974136,1.6318704032700946,1.494714272522464,0.0,0.0,-0.13715613074763056,0.0
25,5000,3,0.175,0.8,0.3648561360317242,1.7550284245471577,1.613106182417367,0.0,0.0,-0.14192224212979077,0.0
25,5000,3,0.175,0.85,0.3876596445337069,1.8595459842164324,1.7264952041567156,0.0,0.0,-0.1330507800597167,0.0
25,5000,3,0.175,0.9,0.41046315303568964,1.9634009293350647,1.8153677089642992,0.0,0.0,-0.1480332203707655,0.0
25,5000,3,0.175,0.95,0.4332666615376724,2.066759983190813,1.9254265822033432,0.0,0.0,-0.14133340098746983,0.0
25,5000,3,0.2,0.0,0.0,0.005676848531557858,0.01559754478746918,1.0,1.0,0.009920696255911323,0.0
25,5000,3,0.2,0.05,0.024083189157584593,0.10918834750689753,0.0844976772367318,1.0,1.0,-0.024690670270165735,0.0
25,5000,3,0.2,0.1,0.048166378315169185,0.21390758483501082,0.1850379513622208,1.0,1.0,-0.028869633472790035,0.0
25,5000,3,0.2,0.15,0.07224956747275377,0.3172584093370059,0.2909800859335803,1.0,1.0,-0.026278323403425563,0.0
25,5000,3,0.2,0.2,0.09633275663033837,0.4216448175087553,0.39554257927522524,1.0,1.0,-0.026102238233530084,0.0
25,5000,3,0.2,0.25,0.12041594578792296,0.5260743606608876,0.47781141528288146,1.0,1.0,-0.04826294537800618,0.0
25,5000,3,0.2,0.3,0.14449913494550753,0.6292703340597173,0.5816362601946837,1.0,1.0,-0.0476340738650336,0.0
25,5000,3,0.2,0.35,0.16858232410309212,0.7326882314502149,0.6583130061421242,1.0,1.0,-0.07437522530809071,0.0
25,5000,3,0.2,0.4,0.19266551326067674,0.8358556824671126,0.74675790891652,1.0,1.0,-0.08909777355059256,0.0
