rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
-0.2,0.75,-0.23717082451262841,2202,2.3771001328463393,1.0006749240832775,0.0,0.0
-0.2,0.75,-0.23717082451262841,2203,2.388962707725857,1.028719712868897,0.0,0.0
-0.2,0.8,-0.25298221281347033,2201,2.5272927040323476,1.0510171175733787,0.0,0.0
-0.2,0.8,-0.25298221281347033,2202,2.52887287069062,1.0746588453611432,0.0,0.0
-0.2,0.8,-0.25298221281347033,2203,2.5459252187866204,1.0542321452376795,0.0,0.0
-0.2,0.85,-0.2687936011143122,2201,2.673856137066548,1.0602408456995123,0.0,0.0
-0.2,0.85,-0.2687936011143122,2202,2.6728215042437533,1.0978101352523788,0.0,0.0
-0.2,0.85,-0.2687936011143122,2203,2.710207791450216,1.0956350950989235,0.0,0.0
-0.2,0.9,-0.2846049894151541,2201,2.831156142897089,1.1448134707581312,0.0,0.0
-0.2,0.9,-0.2846049894151541,2202,2.822779919532316,1.2235404394322258,0.0,0.0
-0.2,0.9,-0.2846049894151541,2203,2.867284197820193,1.200814152733161,0.0,0.0
-0.2,0.95,-0.300416377715996,2201,2.9893008068899247,1.2651029704263592,0.0,0.0
-0.2,0.95,-0.300416377715996,2202,2.972722111958495,1.2497330744796704,0.0,0.0
-0.2,0.95,-0.300416377715996,2203,3.02333802420619,1.2366191380843397,0.0,0.0
-0.15,0.2,-0.07416198487095664,2201,0.5322093961954946,0.2506137091666384,1.0,1.0
-0.15,0.2,-0.07416198487095664,2202,0.5301896876392442,0.24969851774225116,1.0,1.0
-0.15,0.2,-0.07416198487095664,2203,0.4847634126210536,0.25668562581139764,1.0,1.0
-0.15,0.25,-0.09270248108869579,2201,0.66638311729081,0.2710498397552364,1.0,1.0
-0.15,0.25,-0.09270248108869579,2202,0.6681516161400083,0.3263069474059148,1.0,1.0
-0.15,0.25,-0.09270248108869579,2203,0.6291088547246263,0.27922747706402457,1.0,1.0
-0.15,0.3,-0.11124297730643494,2201,0.8008973030871432,0.35388259481088324,1.0,1.0
-0.15,0.3,-0.11124297730643494,2202,0.8060432573932486,0.3669887618089593,1.0,1.0
-0.15,0.3,-0.11124297730643494,2203,0.7739801600968121,0.3601881295641274,1.0,1.0
-0.15,0.35,-0.1297834735241741,2201,0.9354518789908091,0.4478560189933549,1.0,1.0
-0.15,0.35,-0.1297834735241741,2202,0.9438512520655805,0.4345295561845574,1.0,1.0
-0.15,0.35,-0.1297834735241741,2203,0.9191880080002502,0.43909561974441647,1.0,1.0
-0.15,0.4,-0.14832396974191328,2201,1.0703295995201425,0.5171699098932068,0.0,1.0
-0.15,0.4,-0.14832396974191328,2202,1.0817278640590784,0.5194336342389385,0.0,1.0
-0.15,0.4,-0.14832396974191328,2203,1.062421647523652,0.5284121547293295,0.0,1.0
-0.15,0.45,-0.16686446595965243,2201,1.2158957960602303,0.5856190229122198,0.0,1.0
-0.15,0.45,-0.16686446595965243,2202,1.2434991824228345,0.6325539198517535,0.0,1.0
-0.15,0.45,-0.16686446595965243,2203,1.227685483908582,0.5900694427240318,0.0,1.0
-0.15,0.5,-0.18540496217739158,2201,1.3483490564093457,0.6510101489785036,0.0,1.0
-0.15,0.5,-0.18540496217739158,2202,1.3745124175175136,0.6883490225298393,0.0,1.0
-0.15,0.5,-0.18540496217739158,2203,1.364169356324636,0.6569808729422336,0.0,1.0
-0.15,0.55,-0.20394545839513076,2201,1.4810906627324598,0.7368486595182584,0.0,1.0
-0.15,0.55,-0.20394545839513076,2202,1.5049586219422433,0.7325338843806295,0.0,1.0
-0.15,0.55,-0.20394545839513076,2203,1.4998953007527502,0.7299658757658101,0.0,1.0
-0.15,0.6,-0.22248595461286988,2201,1.614811733909417,0.7963537460426224,0.0,1.0
