seed,quantile_id,quantile_label,split,raw_c,rect_c,quantile_low,quantile_high,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
57,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.5685714285714285,0.78,0.21142857142857152,0.9733333333333334,0.9466666666666667,-0.026666666666666727,0.5952380952380952,0.8333333333333334,0.23809523809523814,8,11
57,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.5685714285714285,0.7561904761904761,0.18761904761904757,0.9733333333333334,0.9466666666666667,-0.026666666666666727,0.5952380952380952,0.8095238095238095,0.2142857142857143,8,9
57,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.5685714285714285,0.618095238095238,0.049523809523809526,0.9733333333333334,0.88,-0.09333333333333338,0.5952380952380952,0.7380952380952381,0.1428571428571429,8,14
57,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.5685714285714285,0.4647619047619047,-0.1038095238095238,0.9733333333333334,0.8933333333333333,-0.08000000000000007,0.5952380952380952,0.5714285714285714,-0.023809523809523836,8,9
57,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.5685714285714285,0.36761904761904773,-0.20095238095238077,0.9733333333333334,0.9866666666666667,0.013333333333333308,0.5952380952380952,0.38095238095238093,-0.2142857142857143,8,10
58,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6295238095238096,0.8276190476190477,0.1980952380952381,0.9866666666666667,0.9466666666666667,-0.040000000000000036,0.6428571428571429,0.8809523809523809,0.23809523809523803,9,10
58,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6295238095238096,0.8276190476190477,0.1980952380952381,0.9866666666666667,0.9466666666666667,-0.040000000000000036,0.6428571428571429,0.8809523809523809,0.23809523809523803,9,11
58,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6295238095238096,0.6761904761904762,0.046666666666666634,0.9866666666666667,0.8666666666666667,-0.12,0.6428571428571429,0.8095238095238095,0.16666666666666663,9,12
58,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6295238095238096,0.5495238095238095,-0.08000000000000007,0.9866666666666667,0.9066666666666666,-0.08000000000000007,0.6428571428571429,0.6428571428571429,0.0,9,10
58,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6295238095238096,0.5495238095238095,-0.08000000000000007,0.9866666666666667,0.9066666666666666,-0.08000000000000007,0.6428571428571429,0.6428571428571429,0.0,9,14
59,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6295238095238096,0.6342857142857143,0.004761904761904745,0.9866666666666667,0.92,-0.06666666666666665,0.6428571428571429,0.7142857142857143,0.0714285714285714,10,12
59,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6295238095238096,0.6447619047619049,0.015238095238095273,0.9866666666666667,0.9066666666666666,-0.08000000000000007,0.6428571428571429,0.7380952380952381,0.09523809523809523,10,11
59,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6295238095238096,0.6257142857142857,-0.003809523809523929,0.9866666666666667,0.84,-0.14666666666666672,0.6428571428571429,0.7857142857142857,0.1428571428571428,10,11
59,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6295238095238096,0.49142857142857155,-0.13809523809523805,0.9866666666666667,0.92,-0.06666666666666665,0.6428571428571429,0.5714285714285714,-0.07142857142857151,10,11
59,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6295238095238096,0.5866666666666667,-0.04285714285714293,0.9866666666666667,0.92,-0.06666666666666665,0.6428571428571429,0.6666666666666666,0.023809523809523725,10,11
60,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.7352380952380952,0.7695238095238095,0.03428571428571425,0.9733333333333334,0.96,-0.01333333333333342,0.7619047619047619,0.8095238095238095,0.04761904761904767,10,10
60,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.7352380952380952,0.7428571428571429,0.007619047619047636,0.9733333333333334,0.9333333333333333,-0.040000000000000036,0.7619047619047619,0.8095238095238095,0.04761904761904767,10,10
60,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.7352380952380952,0.6628571428571428,-0.07238095238095243,0.9733333333333334,0.8533333333333334,-0.12,0.7619047619047619,0.8095238095238095,0.04761904761904767,10,16
60,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.7352380952380952,0.562857142857143,-0.1723809523809523,0.9733333333333334,0.92,-0.053333333333333344,0.7619047619047619,0.6428571428571429,-0.11904761904761896,10,11
60,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.7352380952380952,0.5342857142857143,-0.200952380952381,0.9733333333333334,0.9866666666666667,0.013333333333333308,0.7619047619047619,0.5476190476190477,-0.2142857142857142,10,12
61,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.5895238095238096,0.7028571428571428,0.11333333333333329,0.9466666666666667,0.8933333333333333,-0.053333333333333344,0.6428571428571429,0.8095238095238095,0.16666666666666663,6,13
61,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.5895238095238096,0.7238095238095239,0.13428571428571434,0.9466666666666667,0.8666666666666667,-0.07999999999999996,0.6428571428571429,0.8571428571428571,0.2142857142857142,6,10
61,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.5895238095238096,0.5485714285714285,-0.04095238095238107,0.9466666666666667,0.7866666666666666,-0.16000000000000003,0.6428571428571429,0.7619047619047619,0.11904761904761896,6,12
61,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.5895238095238096,0.4961904761904763,-0.09333333333333327,0.9466666666666667,0.8533333333333334,-0.09333333333333327,0.6428571428571429,0.6428571428571429,0.0,6,11
61,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.5895238095238096,0.36761904761904773,-0.22190476190476183,0.9466666666666667,0.9866666666666667,0.040000000000000036,0.6428571428571429,0.38095238095238093,-0.261904761904762,6,15
62,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.5285714285714285,0.47523809523809524,-0.05333333333333323,0.9333333333333333,0.88,-0.053333333333333344,0.5952380952380952,0.5952380952380952,0.0,8,9
62,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.5285714285714285,0.49904761904761896,-0.029523809523809508,0.9333333333333333,0.88,-0.053333333333333344,0.5952380952380952,0.6190476190476191,0.023809523809523836,8,11
62,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.5285714285714285,0.48857142857142843,-0.040000000000000036,0.9333333333333333,0.8933333333333333,-0.040000000000000036,0.5952380952380952,0.5952380952380952,0.0,8,12
62,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.5285714285714285,0.48571428571428577,-0.042857142857142705,0.9333333333333333,0.8666666666666667,-0.06666666666666665,0.5952380952380952,0.6190476190476191,0.023809523809523836,8,12
